name,phones
0001_000001,t ɑ2 yæ2 n j i5 kh a5 n th ɑ5 m ə1 n t ə1 tɕh yɛ5 x ə2 n s. i.5 m ei2 l i5  
0001_000002,j i5 ŋ k uoɜ t ə1 ts. oɜ ɕ yɛɜ tɕ iɑ5 tsh əɜ ŋ tɕ i5 ŋ s. w o5 k uo5  
0001_000003,w o2 l ɑu2 tɕ iɑ5 ts ai5 p ei2 tɕ i5 ŋ w ɑ1 s ai5 th ai5 tɕ i5 ŋ tsh ai2 l ə1  
0001_000004,p u5 k w a2 n ts ə2 n m o1 s. w o5 ts. u2 t uei5 x ɑu2 ɕ iɑ5 ŋ s. i.5 ts. i.5 ts ai5 t uoɜ kh ueiɜ  
0001_000005,w o2 m ə1 n ts.h əɜ ŋ ts.h uaɜ n ph j ɑu5 j iouɜ l ə1 s a5 n ɕ iɑɜ ts. ə5 n s. i.5 tsh i̪5 tɕ i5  
0001_000006,w o2 ɕ i2 x ua1 n p ei2 tɕ i5 ŋ x ua1 n j iɜ ŋ n i2  
0001_000007,w o2 m ei2 k o1 yɛ5 t ɑ2 j i5 tsh i̪5 t iɛ5 n x w ɑ5  
0001_000008,s. ɑ5 ts.h əɜ n p ɑu5 x ɑu2 ɕ iɑ5 ŋ k ei2 m ei2 k o1 ʐ əɜ n t ou5 t ai5 l aiɜ l ə1 m ɑɜ f aɜ n  
0001_000009,tɕ iou5 s. i.5 ts. o5 k o1 j i5 s i̪5 n i2 j iou5 tsh onɡ5 m iɜ ŋ j iou5 x ɑu2 kh a5 n  
0001_000010,k o1 ʐ əɜ n s. ou5 tsh aɜ ŋ tɕ iɑ5 th ɑ5 m ə1 n kh ə2 n t i5 ŋ j iou2  
0001_000011,f u5 n y2 tɕ iɛɜ kh uai5 l ə5 w o2 yu2 ŋ yæ2 n ai5 n i2 m ɑ5 m ɑ5  
0001_000012,n i2 m ei2 tsh i̪5 th aɜ n l iɛ5 n ai5 t ou5 ɕ iɑ5 ŋ ɕ iɛ5 n ts ai5 ts. o5 j iɑ5 ŋ  
0001_000013,ts. ou5 m o5 t ə1 w o2 ts. i.2 m aɜ ŋ ts. o1 ph eiɜ n i2  
0001_000014,s. w eiɜ n i2 j iɛ2 p u5 ʐ ə5 n s. i.1 w o2 x ə2 n l ə5 j i5 p a5 ŋ ts. u5 n i2  
0001_000015,w o2 th ə5 p iɛɜ ɕ i2 x ua1 n w ɑ2 ŋ tɕh iouɜ x oɜ t ə5 ŋ s. a5 n  
0001_000016,th ɑ5 j i5 t i5 ŋ s. i.5 j i5 j iɛ2 n tɕ iou5 p ei5 n i2 m iɜ ts. u5 l ə1  
0001_000017,x ə2 n kh uai5 n i2 s. a5 ŋ t ɑ5 ɕ yɛɜ tɕ iou5 yu5 ŋ t ə1 t ɑu5 l ə1  
0001_000018,w o2 m ə1 n j i5 tɕ iɛ5 n p u5 x oɜ ts aɜ n m ə1 n tɕh y5 n ɑ5 ərɜ w ɑɜ n p ɑ1  
0001_000019,p u5 tɕ iou5 s. i.5 n i2 m ɑ1 w ei5 s. əɜ n m o1 j ɑu5 th ou5 ɕ j ɑu5 l aiɜ  
0001_000020,tɕh iɛɜ n tɕ i2 th iɛ5 n w o2 ph ə5 ŋ tɕ iɛ5 n l ə1 j i5 tɕ iɛ5 n j iou2 tɕh y5 t ə1 s. i.5 ərɜ  
0001_000021,j i2 tɕ i5 ŋ p o5 ts. i.5 k ai5 ts. ua5 n tɕ i1 ts uei5 x ou5 j i5 k o1 s. ə5 ŋ j i5 n  
0001_000022,w o2 x oɜ w o2 ph əɜ ŋ j iou1 k a5 ŋ tsh onɡɜ p ɑ1 l iɜ t ɑu2 x ueiɜ l aiɜ  
0001_000023,ts uo5 j i5 ɕ iɛ5 x ɑu2 ts.h i.5 t ə1 tsh u5 tɕ i5 n p ɑu2 p ɑu2 t ə1 s. i.ɜ ʲ y5  
0001_000024,n i2 t ə1 s. ə5 n j i2 ŋ ts onɡ2 s. i.5 ts ai5 w o2 ɕ i5 n l i2 x w ɑ1 ŋ l aiɜ x w ɑ1 ŋ tɕh y5  
0001_000025,w o2 tɕ yɛɜ t ə1 p i5 ŋ p u5 s. i.5 f ei5 j ɑu5 j iou2 th ə5 p iɛɜ t ə1 ph i2 n ts. i.5  
0001_000026,s. i.5 t ə1 th ɑ5 x ə2 n tɕ j ɑu2 x w ɑɜ tɕ i5 ŋ ts.h ɑɜ ŋ ɕ iɛ5 n x ai5 th ɑ5 ʐ əɜ n  
0001_000027,k onɡ5 ts.h ɑ2 ŋ p u5 p ɑ2 th ɑ5 ts. i.ɜ tɕ iɛ5 ph aiɜ t ɑu5 t ɑ5 tɕh i5 ts. onɡ5  
0001_000028,m eiɜ tsh uo5 tɕ iou5 s. i.5 ts.h o5 m əɜ n l i5 ŋ w ai5 l iɑ2 ŋ k o1 ʐ əɜ n w uə5 n th ɑ5 s. w o5  
0001_000029,x ə2 n kh o2 ai5 ɑ1 tɕ iou5 ɕ iɑ5 ŋ n i2 j i5 j iɑ5 ŋ  
0001_000030,ts.h uɜ f ei5 n i2 t ɑ2 f ei5 t iɛɜ tɕh iouɜ t a5 n ts. o5 s. i.5 p u5 kh o2 n əɜ ŋ t ə1  
0001_000031,m eiɜ th i5 ŋ tɕh i5 ŋ tɕh i2 ŋ w uə5 n s. əɜ n m o1 s. i.ɜ tɕ iɛ5 n th iɜ ɕ i2 ŋ n i2  
0001_000032,w o2 ʲ y5 t ɑu5 l ə1 j i5 w ei5 ph j ɑu5 l iɑ5 ŋ t ə1 n y2 x aiɜ  
0001_000033,w o2 s. i.5 tɕh i5 ŋ w ɑ5 p u5 yu5 ŋ t onɡ5 m iɛɜ n t ə1  
0001_000034,n ɑ5 s. i.5 m ɑ2 th ə5 th ɑ5 kh ə2 n t i5 ŋ x ə2 n yu2 ŋ k a2 n  
0001_000035,ts. o5 j iɑ5 ŋ w uɜ k u5 t ə1 ʐ əɜ n tɕ iou5 p u5 x uei5 p ei5 s. ɑ5 l ə1  
0001_000036,w o2 p i5 ɕ y5 j i5 ts. i.ɜ th onɡ5 t iɛ5 n tsh aiɜ n əɜ ŋ k onɡ5 ts uo5  
0001_000037,w o2 x oɜ w o2 t ə1 tɕh i5 ts i̪1 ph a5 n w ɑ5 ŋ ts. o1 x oɜ n iɜ n tɕ iɛ5 n m iɛ5 n  
0001_000038,t a5 ŋ ʐ aɜ n s. i.5 l ə1 w o2 ɕ iɛ5 n ts ai5 kh uai5 o5 s i̪2 l ə1  
0001_000039,m eiɜ j iou2 ts. ɑu2 t ɑu5 ʐ i.5 ts.h əɜ ŋ ts ou2 t ə1 s. i.ɜ x ou5 tɕh i2 ŋ s uo2 m əɜ n  
0001_000040,s. i.5 j i5 tɕ iɑ5 ts. i.5 j ɑu5 k onɡ5 s i̪5 t ə1 t ua2 n tɕh i5 k onɡ5  
0001_000041,tɕ iɛ2 m aɜ ŋ t ə1 x ə2 n m eiɜ kh onɡ5 x oɜ n i2 s. w o5 ts. o5 k o1  
0001_000042,w o2 x uei5 n ua2 n p ei5 w o5 l ə1 t ou5 n i2 t ə1  
0001_000043,ts. o5 j iɑ5 ŋ t ə1 x w ɑ5 w o2 m ə1 n kh o2 j i2 ɕ yæ2 n ts oɜ tɕh i5 ŋ n iɛɜ n l y2 k w a2 n  
0001_000044,p i2 f a5 ŋ s. w o5 x w ɑɜ ər2 tɕ iɛ5 ʐ i.5 p ɑu5 tɕ iou5 x ə2 n x ɑu2  
0001_000045,w o2 ts. i.5 t ɑu5 ʐ əɜ n s. ə5 ŋ p i5 ŋ p u5 ts onɡ2 s. i.5 j i5 f a5 n f ə5 ŋ s. w o5 n  
0001_000046,w o2 m ə1 n kh o2 j i2 l uəɜ n l iouɜ kh ai5 ts.h o5  
0001_000047,ts. o5 s. i.5 th aiɜ w ɑ5 n t ə1 tɕh y5 ts uei5 t ɑ5 t ə1 t onɡ5 w u5 yæɜ n  
