name,label
bea_amused_1-15_0001,amusement
bea_amused_1-15_0002,amusement
bea_amused_1-15_0003,amusement
bea_amused_1-15_0004,amusement
bea_amused_1-15_0005,amusement
bea_amused_1-15_0006,amusement
bea_amused_1-15_0007,amusement
bea_amused_1-15_0009,amusement
bea_amused_1-15_0010,amusement
bea_amused_1-15_0011,amusement
bea_amused_1-15_0012,amusement
bea_amused_1-15_0013,amusement
bea_amused_1-15_0014,amusement
bea_amused_1-15_0015,amusement
bea_amused_113-140_0113,amusement
bea_amused_113-140_0114,amusement
bea_amused_113-140_0115,amusement
bea_amused_113-140_0116,amusement
bea_amused_113-140_0117,amusement
bea_amused_113-140_0118,amusement
bea_amused_113-140_0119,amusement
bea_amused_113-140_0121,amusement
bea_amused_113-140_0122,amusement
bea_amused_113-140_0123,amusement
bea_amused_113-140_0124,amusement
bea_amused_113-140_0126,amusement
bea_amused_113-140_0127,amusement
bea_amused_113-140_0128,amusement
bea_amused_113-140_0129,amusement
bea_amused_113-140_0130,amusement
bea_amused_113-140_0131,amusement
bea_amused_113-140_0132,amusement
bea_amused_113-140_0133,amusement
bea_amused_113-140_0134,amusement
bea_amused_113-140_0135,amusement
bea_amused_113-140_0136,amusement
bea_amused_113-140_0137,amusement
bea_amused_113-140_0138,amusement
bea_amused_113-140_0139,amusement
bea_amused_113-140_0140,amusement
bea_amused_141_168_0141,amusement
bea_amused_141_168_0142,amusement
bea_amused_141_168_0143,amusement
bea_amused_141_168_0144,amusement
bea_amused_141_168_0145,amusement
bea_amused_141_168_0146,amusement
bea_amused_141_168_0147,amusement
bea_amused_141_168_0149,amusement
bea_amused_141_168_0150,amusement
bea_amused_141_168_0152,amusement
bea_amused_141_168_0154,amusement
bea_amused_141_168_0155,amusement
bea_amused_141_168_0156,amusement
bea_amused_141_168_0158,amusement
bea_amused_141_168_0159,amusement
bea_amused_141_168_0160,amusement
bea_amused_141_168_0161,amusement
bea_amused_141_168_0163,amusement
bea_amused_141_168_0164,amusement
bea_amused_141_168_0165,amusement
bea_amused_141_168_0166,amusement
bea_amused_141_168_0167,amusement
bea_amused_141_168_0168,amusement
bea_amused_16-28_0016,amusement
bea_amused_16-28_0017,amusement
bea_amused_16-28_0018,amusement
bea_amused_16-28_0019,amusement
bea_amused_16-28_0020,amusement
bea_amused_16-28_0021,amusement
bea_amused_16-28_0022,amusement
bea_amused_16-28_0023,amusement
bea_amused_16-28_0024,amusement
bea_amused_16-28_0025,amusement
bea_amused_16-28_0026,amusement
bea_amused_16-28_0027,amusement
bea_amused_16-28_0028,amusement
bea_amused_169-196_0169,amusement
bea_amused_169-196_0170,amusement
bea_amused_169-196_0171,amusement
bea_amused_169-196_0172,amusement
bea_amused_169-196_0173,amusement
bea_amused_169-196_0174,amusement
bea_amused_169-196_0175,amusement
bea_amused_169-196_0176,amusement
bea_amused_169-196_0177,amusement
bea_amused_169-196_0178,amusement
bea_amused_169-196_0179,amusement
bea_amused_169-196_0180,amusement
bea_amused_169-196_0181,amusement
bea_amused_169-196_0182,amusement
bea_amused_169-196_0183,amusement
bea_amused_169-196_0184,amusement
bea_amused_169-196_0185,amusement
bea_amused_169-196_0186,amusement
bea_amused_169-196_0187,amusement
bea_amused_169-196_0188,amusement
bea_amused_169-196_0189,amusement
bea_amused_169-196_0190,amusement
bea_amused_169-196_0191,amusement
bea_amused_169-196_0192,amusement
bea_amused_169-196_0193,amusement
bea_amused_169-196_0194,amusement
bea_amused_169-196_0195,amusement
bea_amused_169-196_0196,amusement
bea_amused_196-224_0197,amusement
bea_amused_196-224_0198,amusement
bea_amused_196-224_0199,amusement
bea_amused_196-224_0200,amusement
bea_amused_196-224_0201,amusement
bea_amused_196-224_0202,amusement
bea_amused_196-224_0203,amusement
bea_amused_196-224_0204,amusement
bea_amused_196-224_0205,amusement
bea_amused_196-224_0206,amusement
bea_amused_196-224_0207,amusement
bea_amused_196-224_0208,amusement
bea_amused_196-224_0209,amusement
bea_amused_196-224_0210,amusement
bea_amused_196-224_0211,amusement
bea_amused_196-224_0212,amusement
bea_amused_196-224_0213,amusement
bea_amused_196-224_0214,amusement
bea_amused_196-224_0215,amusement
bea_amused_196-224_0216,amusement
bea_amused_196-224_0217,amusement
bea_amused_196-224_0218,amusement
bea_amused_196-224_0219,amusement
bea_amused_196-224_0220,amusement
bea_amused_196-224_0221,amusement
bea_amused_196-224_0222,amusement
bea_amused_196-224_0223,amusement
bea_amused_196-224_0224,amusement
bea_amused_225-252_0225,amusement
bea_amused_225-252_0226,amusement
bea_amused_225-252_0227,amusement
bea_amused_225-252_0228,amusement
bea_amused_225-252_0229,amusement
bea_amused_225-252_0230,amusement
bea_amused_225-252_0231,amusement
bea_amused_225-252_0232,amusement
bea_amused_225-252_0233,amusement
bea_amused_225-252_0234,amusement
bea_amused_225-252_0235,amusement
bea_amused_225-252_0236,amusement
bea_amused_225-252_0237,amusement
bea_amused_225-252_0238,amusement
bea_amused_225-252_0239,amusement
bea_amused_225-252_0240,amusement
bea_amused_225-252_0241,amusement
bea_amused_225-252_0242,amusement
bea_amused_225-252_0243,amusement
bea_amused_225-252_0244,amusement
bea_amused_225-252_0245,amusement
bea_amused_225-252_0246,amusement
bea_amused_225-252_0247,amusement
bea_amused_225-252_0248,amusement
bea_amused_225-252_0249,amusement
bea_amused_225-252_0250,amusement
bea_amused_225-252_0251,amusement
bea_amused_225-252_0252,amusement
bea_amused_253-280_0253,amusement
bea_amused_253-280_0254,amusement
bea_amused_253-280_0255,amusement
bea_amused_253-280_0257,amusement
bea_amused_253-280_0258,amusement
bea_amused_253-280_0259,amusement
bea_amused_253-280_0260,amusement
bea_amused_253-280_0261,amusement
bea_amused_253-280_0262,amusement
bea_amused_253-280_0263,amusement
bea_amused_253-280_0264,amusement
bea_amused_253-280_0265,amusement
bea_amused_253-280_0266,amusement
bea_amused_253-280_0267,amusement
bea_amused_253-280_0268,amusement
bea_amused_253-280_0269,amusement
bea_amused_253-280_0270,amusement
bea_amused_253-280_0271,amusement
bea_amused_253-280_0272,amusement
bea_amused_253-280_0273,amusement
bea_amused_253-280_0274,amusement
bea_amused_253-280_0275,amusement
bea_amused_253-280_0276,amusement
bea_amused_253-280_0277,amusement
bea_amused_253-280_0278,amusement
bea_amused_253-280_0279,amusement
