name,phones
bea_amused_1-15_0001,ɔː θ ɚ ɹ ʌ v ð ə d eɪ n dʒ ɚ t ɹ eɪ l f ɪ l ɪ p s t iː l z ɛ t s ɛ t ɹ ə 
bea_amused_1-15_0002,n ɑː t æ t ð ɪ s p ɚ t ɪ k j ʊ l ɚ k eɪ s t ɑː m ɐ p ɑː l ə dʒ aɪ z d w ɪ ɾ ɪ m oːɹ 
bea_amused_1-15_0003,f ɚ ð ə t w ɛ n t iə θ t aɪ m ð æ t iː v n ɪ ŋ ð ə t uː m ɛ n ʃ ʊ k h æ n d z 
bea_amused_1-15_0004,l ɔːɹ d b ʌ t aɪ m ɡ l æ d t ə s iː j uː ɐ ɡ ɛ n f ɪ l 
bea_amused_1-15_0005,w ɪ l w iː ɛ v ɚ f ɚ ɡ ɛ t ɪ t 
bea_amused_1-15_0006,ɡ ɑː d b l ɛ s ɛ m aɪ h oʊ p aɪ l ɡ oʊ ɔ n s iː ɪ ŋ ð ɛ m f ɚ ɹ ɛ v ɚ 
bea_amused_1-15_0007,æ n d j uː ɔː l w eɪ z w ɔ n t t ə s iː ɪ ɾ ɪ n ð ə s uː p ɜː l ə t ɪ v d ᵻ ɡ ɹ iː 
bea_amused_1-15_0009,h iː t ɜː n d ʃ ɑːɹ p l i æ n d f eɪ s d ɡ ɹ ɛ ɡ s ə n ə k ɹ ɑː s ð ə t eɪ b əl 
bea_amused_1-15_0010,aɪ m p l eɪ ɪ ŋ ɐ s ɪ ŋ ɡ əl h æ n d ɪ n w ʌ t l ʊ k s l aɪ k ɐ l uː z ɪ ŋ ɡ eɪ m 
bea_amused_1-15_0011,ɪ f aɪ ɛ v ɚ n iː d ᵻ d ɐ f aɪ ɾ ɚ ɹ ɪ n m aɪ l aɪ f aɪ n iː d w ʌ n n aʊ 
bea_amused_1-15_0012,ɡ ɹ ɛ ɡ s ə n ʃ ʌ v d b æ k h ɪ z tʃ ɛɹ æ n d ɹ oʊ z t ə h ɪ z f iː t 
bea_amused_1-15_0013,h iː w ʌ z ɐ h ɛ d ʃ ɔːɹ ɾ ɚ ð ɐ n h ɪ z k ə m p æ n iə n ʌ v ɔː l m oʊ s t d ɛ l ᵻ k ə t f ɪ z iː k 
bea_amused_1-15_0014,n aʊ j ʊɹ k ʌ m ɪ ŋ d aʊ n t ə b ɪ z n ə s f ɪ l h iː ɛ k s k l eɪ m d 
bea_amused_1-15_0015,ɪ t s ð ɪ ɔː ɹ oː ɹ ə b oː ɹ ɪ æ l ɪ s 
bea_amused_113-140_0113,aɪ s ə p oʊ z j uː p ɪ k t ð æ t l ɪ ŋ ɡ oʊ ʌ p ɐ m ʌ ŋ ð ɪ ɪ n d iə n z 
bea_amused_113-140_0114,h ɜː w ɜː d z s ɛ n t ɐ s t ɹ eɪ n dʒ tʃ ɪ l θ ɹ uː f ɪ l ɪ p 
bea_amused_113-140_0115,h iː h æ d n oʊ ɛ k s k j uː s f ɚ ð ə f iː l ɪ ŋ z w ɪ tʃ w ɜː ɹ ɚ ɹ aʊ z d ɪ n h ɪ m 
bea_amused_113-140_0116,w ʌ z ɪ t ð ə ɹ ɑː n d ɪ v uː ʌ v ð oʊ z h uː w ɜː s t ɹ aɪ v ɪ ŋ t ə w ɜː k h ɪ z ɹ uː ɪ n 
bea_amused_113-140_0117,ʃ iː æ d ᵻ d w ɪ ð dʒ ɛ n j uː ɪ n s ɪ m p ə θ i ɪ n h ɜː f eɪ s æ n d v ɔɪ s 
bea_amused_113-140_0118,p ɪ ɛ ɹ oʊ b eɪ z m iː w ɛ n w iː ɑːɹ t ə ɡ ɛ ð ɚ 
bea_amused_113-140_0119,dʒ iː n w ʌ z t ɜː n ɪ ŋ ð ə b oʊ ʃ oːɹ w ɔːɹ d 
bea_amused_113-140_0121,ð eɪ eɪ t d ɪ n ɚ ɹ æ t ð ə f ɪ f θ æ n d ɹ ɛ s t ᵻ d f ɔːɹ t uː aʊ ɚ z 
bea_amused_113-140_0122,t uː j ɪɹ z ɐ ɡ oʊ aɪ ɡ eɪ v ʌ p s ɪ v ɪ l ᵻ z eɪ ʃ ə n f ɔːɹ ð ɪ s 
bea_amused_113-140_0123,ʃ iː h æ d d aɪ d f ɹ ʌ m k oʊ l d æ n d s t ɑːɹ v eɪ ʃ ə n 
bea_amused_113-140_0124,ɪ t w ʌ z dʒ iː n s ɪ ŋ ɪ ŋ s ɔ f t l i oʊ v ɚ b ᵻ j ɔ n d ð ə ɹ ɑː k s 
bea_amused_113-140_0126,iː tʃ d eɪ ʃ iː b ɪ k eɪ m ɐ m oːɹ v aɪ ɾ əl p ɑːɹ t ʌ v h ɪ m 
bea_amused_113-140_0127,ɪ t w ʌ z ɐ t ɛ m p t eɪ ʃ ə n b ʌ t h iː ɹ ᵻ z ɪ s t ᵻ d ɪ t 
bea_amused_113-140_0128,ð ɪ s w ʌ n h oʊ p w ʌ z d ᵻ s t ɹ ɔɪ d æ z k w ɪ k l i æ z ɪ t w ʌ z b ɔːɹ n 
bea_amused_113-140_0129,h ɜː f eɪ s w ʌ z ɐ ɡ ɛ n s t h ɪ z b ɹ ɛ s t 
bea_amused_113-140_0130,ʃ iː w ʌ z h ɪ z n aʊ f ɚ ɹ ɛ v ɚ 
bea_amused_113-140_0131,p ɹ ɑː v ɪ d ə n s h æ d d ᵻ l ɪ v ɚ d h ɪ m θ ɹ uː ð ə m eɪ l s t ɹ ɑː m 
bea_amused_113-140_0132,ɐ k ɹ aɪ ʌ v dʒ ɔɪ b ɜː s t f ɹ ʌ m f ɪ l ɪ p s l ɪ p s 
bea_amused_113-140_0133,f ɪ l ɪ p b ɪ ɡ æ n t ə f iː l ð æ t h iː h æ d f uː l ɪ ʃ l i oʊ v ɚ ɹ ɛ s t ᵻ m eɪ ɾ ᵻ d h ɪ z s t ɹ ɛ ŋ θ 
bea_amused_113-140_0134,h iː oʊ b eɪ d ð ə p ɹ ɛ ʃ ɚ ɹ ʌ v h ɜː h æ n d 
