name,phones
Ses01F_impro01_F000,ɛ k s k j uː s m iː 
Ses01F_impro01_F001,j ɛ h 
Ses01F_impro01_F002,ɪ z ð ɛ ɹ ɐ p ɹ ɑː b l ə m 
Ses01F_impro01_F003,j uː d ɪ d 
Ses01F_impro01_F004,j uː w ɜː s t æ n d ɪ ŋ æ t ð ə b ɪ ɡ ɪ n ɪ ŋ æ n d j uː d ᵻ ɹ ɛ k t ᵻ d m iː 
Ses01F_impro01_F005,w ɛ l w ʌ t s ð ə p ɹ ɑː b l ə m l ɛ t m iː tʃ eɪ n dʒ ɪ t 
Ses01F_impro01_F006,w ʌ t aɪ m ɡ ɛ ɾ ɪ ŋ ɐ n aɪ d iː ð ɪ s ɪ z w aɪ aɪ m h ɪɹ m aɪ w ɔ l ɪ t w ʌ z s t oʊ l ə n 
Ses01F_impro01_F007,h aʊ æ m aɪ s ə p oʊ z d t ə ɡ ɛ t ɐ n aɪ d iː w ɪ ð aʊ t ɐ n aɪ d iː h aʊ d ʌ z ɐ p ɜː s ə n ɡ ɛ t ɐ n aɪ d iː ɪ n ð ə f ɜː s t p l eɪ s 
Ses01F_impro01_F008,aɪ m h ɪɹ t ə ɡ ɛ t ɐ n aɪ d iː 
Ses01F_impro01_F009,l aɪ k w ʌ t l aɪ k ɐ b ɜː θ s ɚ t ɪ f ɪ k ə t 
Ses01F_impro01_F010,h uː ð ə h ɛ l h ɐ z ɐ b ɜː θ s ɚ t ɪ f ɪ k ə t 
Ses01F_impro01_F011,j ɛ s b ʌ t m aɪ w ɔ l ɪ t w ʌ z s t oʊ l ə n aɪ d oʊ n t h æ v ɛ n ɪ θ ɪ ŋ aɪ d oʊ n t h æ v ɛ n i k ɹ ɛ d ɪ t k ɑːɹ d z aɪ d oʊ n t h æ v m aɪ aɪ d iː d oʊ n t j uː h æ v θ ɪ ŋ z ɔ n f aɪ l h ɪɹ 
Ses01F_impro01_F012,ð æ t s aʊ ɾ ə v k ə n t ɹ oʊ l 
Ses01F_impro01_F013,h aʊ l ɔ ŋ h æ v j uː b ɪ n w ɜː k ɪ ŋ h ɪɹ 
Ses01F_impro01_F014,k l ɪɹ l i j uː n oʊ d uː j uː h æ v l aɪ k ɐ s uː p ɚ v aɪ z ɚ ɔːɹ s ʌ m θ ɪ ŋ 
Ses01F_impro01_F015,ð æ t w ʊ d aɪ w ʊ d ɐ p ɹ iː ʃ ɪ eɪ t ð æ t j ɛ h 
Ses01F_impro01_M000,d uː j uː h æ v j ʊɹ f ɔːɹ m z 
Ses01F_impro01_M001,l ɛ t m iː s iː ð ɛ m 
Ses01F_impro01_M002,h uː t oʊ l d j uː t ə ɡ ɛ t ɪ n ð ɪ s l aɪ n 
Ses01F_impro01_M003,oʊ k eɪ b ʌ t aɪ d ɪ d n t t ɛ l j uː t ə ɡ ɛ t ɪ n ð ɪ s l aɪ n ɪ f j uː ɑːɹ f ɪ l ɪ ŋ aʊ t ð ɪ s p ɚ t ɪ k j ʊ l ɚ f ɔːɹ m 
Ses01F_impro01_M004,ð ɪ s f ɔːɹ m ɪ z ɐ z iː ɛ k s f oːɹ 
