name,label
MSP-IMPROV-S01A-F01-P-FM01,neutral
MSP-IMPROV-S01A-F01-P-FM02,happiness
MSP-IMPROV-S01A-F01-P-MF01,happiness
MSP-IMPROV-S01A-F01-S-FM01,sadness
MSP-IMPROV-S01A-F01-S-FM02,anger
MSP-IMPROV-S01A-F01-S-FM03,anger
MSP-IMPROV-S01A-F01-S-FM04,anger
MSP-IMPROV-S01A-F01-S-FM05,unknown
MSP-IMPROV-S01A-F01-S-FM06,anger
MSP-IMPROV-S01A-F01-S-MF02,neutral
MSP-IMPROV-S01A-F01-S-MF03,neutral
MSP-IMPROV-S01A-F01-S-MF04,neutral
MSP-IMPROV-S01A-F01-S-MF05,neutral
MSP-IMPROV-S01A-F01-S-MF06,anger
MSP-IMPROV-S01A-F01-S-MF07,neutral
MSP-IMPROV-S01A-F01-T-FM01,anger
MSP-IMPROV-S01A-F02-P-FM01,neutral
MSP-IMPROV-S01A-F02-P-MF01,happiness
MSP-IMPROV-S01A-F02-P-MF02,neutral
MSP-IMPROV-S01A-F02-P-MF03,happiness
MSP-IMPROV-S01A-F02-R-FF01,anger
MSP-IMPROV-S01A-F02-S-FM01,neutral
MSP-IMPROV-S01A-F02-S-FM02,anger
MSP-IMPROV-S01A-F02-S-FM03,neutral
MSP-IMPROV-S01A-F02-S-MF01,neutral
MSP-IMPROV-S01A-F02-S-MF02,neutral
MSP-IMPROV-S01A-F02-T-FM01,anger
MSP-IMPROV-S01A-F03-P-FM01,happiness
MSP-IMPROV-S01A-F03-P-FM02,neutral
MSP-IMPROV-S01A-F03-P-FM03,neutral
MSP-IMPROV-S01A-F03-P-FM04,neutral
MSP-IMPROV-S01A-F03-P-FM05,neutral
MSP-IMPROV-S01A-F03-P-FM06,neutral
MSP-IMPROV-S01A-F03-P-FM07,neutral
MSP-IMPROV-S01A-F03-P-MF01,neutral
MSP-IMPROV-S01A-F03-P-MF02,happiness
MSP-IMPROV-S01A-F03-P-MF03,neutral
MSP-IMPROV-S01A-F03-P-MF04,neutral
MSP-IMPROV-S01A-F03-P-MF05,happiness
MSP-IMPROV-S01A-F03-P-MF06,neutral
MSP-IMPROV-S01A-F03-P-MF07,happiness
MSP-IMPROV-S01A-F03-P-MF08,neutral
MSP-IMPROV-S01A-F03-P-MF09,happiness
MSP-IMPROV-S01A-F03-P-MF10,unknown
MSP-IMPROV-S01A-F03-P-MF11,neutral
MSP-IMPROV-S01A-F03-P-MF12,neutral
MSP-IMPROV-S01A-F03-R-FF01,anger
MSP-IMPROV-S01A-F03-S-FM01,unknown
MSP-IMPROV-S01A-F03-S-FM02,unknown
MSP-IMPROV-S01A-F03-S-FM03,anger
MSP-IMPROV-S01A-F03-S-FM04,sadness
MSP-IMPROV-S01A-F03-S-FM05,sadness
MSP-IMPROV-S01A-F03-S-FM06,neutral
MSP-IMPROV-S01A-F03-S-FM07,unknown
MSP-IMPROV-S01A-F03-S-FM08,unknown
MSP-IMPROV-S01A-F03-S-MF01,happiness
MSP-IMPROV-S01A-F03-S-MF02,neutral
MSP-IMPROV-S01A-F03-S-MF03,neutral
MSP-IMPROV-S01A-F03-S-MF04,happiness
MSP-IMPROV-S01A-F03-S-MF05,neutral
MSP-IMPROV-S01A-F03-S-MF06,neutral
MSP-IMPROV-S01A-F03-S-MF07,neutral
MSP-IMPROV-S01A-F03-T-FM01,anger
MSP-IMPROV-S01A-F03-T-FM02,anger
MSP-IMPROV-S01A-F04-P-FM01,happiness
MSP-IMPROV-S01A-F04-P-FM02,neutral
MSP-IMPROV-S01A-F04-P-FM03,neutral
MSP-IMPROV-S01A-F04-P-FM04,happiness
MSP-IMPROV-S01A-F04-P-FM05,happiness
MSP-IMPROV-S01A-F04-P-FM06,happiness
MSP-IMPROV-S01A-F04-P-FM07,happiness
MSP-IMPROV-S01A-F04-P-MF01,neutral
MSP-IMPROV-S01A-F04-P-MF02,happiness
MSP-IMPROV-S01A-F04-P-MF03,happiness
MSP-IMPROV-S01A-F04-S-FM01,anger
MSP-IMPROV-S01A-F04-S-FM02,neutral
MSP-IMPROV-S01A-F04-S-FM03,anger
MSP-IMPROV-S01A-F04-S-MF01,happiness
MSP-IMPROV-S01A-F04-T-FM01,neutral
MSP-IMPROV-S01A-F05-P-FM01,happiness
MSP-IMPROV-S01A-F05-P-FM02,unknown
MSP-IMPROV-S01A-F05-P-FM03,neutral
MSP-IMPROV-S01A-F05-P-FM04,neutral
MSP-IMPROV-S01A-F05-P-FM05,happiness
MSP-IMPROV-S01A-F05-P-FM06,neutral
MSP-IMPROV-S01A-F05-P-FM07,neutral
MSP-IMPROV-S01A-F05-P-FM17,neutral
MSP-IMPROV-S01A-F05-P-MF01,happiness
MSP-IMPROV-S01A-F05-P-MF02,happiness
MSP-IMPROV-S01A-F05-P-MF03,neutral
MSP-IMPROV-S01A-F05-P-MF04,neutral
MSP-IMPROV-S01A-F05-R-FF01,anger
MSP-IMPROV-S01A-F05-S-FM01,anger
MSP-IMPROV-S01A-F05-S-FM02,neutral
MSP-IMPROV-S01A-F05-S-FM03,neutral
MSP-IMPROV-S01A-F05-S-FM04,neutral
MSP-IMPROV-S01A-F05-S-FM05,anger
MSP-IMPROV-S01A-F05-S-FM06,unknown
MSP-IMPROV-S01A-F05-S-FM07,unknown
MSP-IMPROV-S01A-F05-S-FM08,neutral
MSP-IMPROV-S01A-F05-S-FM09,anger
MSP-IMPROV-S01A-F05-S-FM10,neutral
MSP-IMPROV-S01A-F05-S-FM11,anger
MSP-IMPROV-S01A-F05-S-FM12,happiness
MSP-IMPROV-S01A-F05-S-FM13,sadness
MSP-IMPROV-S01A-F05-S-FM14,anger
MSP-IMPROV-S01A-F05-S-FM15,anger
MSP-IMPROV-S01A-F05-S-FM16,neutral
MSP-IMPROV-S01A-F05-S-MF01,neutral
MSP-IMPROV-S01A-F05-S-MF02,neutral
MSP-IMPROV-S01A-F05-S-MF03,happiness
MSP-IMPROV-S01A-F05-S-MF04,neutral
MSP-IMPROV-S01A-F05-T-FM01,anger
MSP-IMPROV-S01A-F06-P-FM01,other
MSP-IMPROV-S01A-F06-P-FM02,happiness
MSP-IMPROV-S01A-F06-P-FM03,happiness
MSP-IMPROV-S01A-F06-P-MF01,happiness
MSP-IMPROV-S01A-F06-P-MF02,happiness
MSP-IMPROV-S01A-F06-P-MF03,neutral
MSP-IMPROV-S01A-F06-R-FF01,anger
MSP-IMPROV-S01A-F06-S-FM01,neutral
MSP-IMPROV-S01A-F06-S-FM02,other
MSP-IMPROV-S01A-F06-S-FM03,neutral
MSP-IMPROV-S01A-F06-S-FM04,neutral
MSP-IMPROV-S01A-F06-S-MF01,neutral
MSP-IMPROV-S01A-F06-S-MF02,unknown
MSP-IMPROV-S01A-F06-S-MF03,happiness
MSP-IMPROV-S01A-F06-T-FM01,anger
MSP-IMPROV-S01A-M01-P-FM01,neutral
MSP-IMPROV-S01A-M01-P-FM02,neutral
MSP-IMPROV-S01A-M01-P-MF01,neutral
MSP-IMPROV-S01A-M01-P-MF02,neutral
MSP-IMPROV-S01A-M01-P-MF03,neutral
MSP-IMPROV-S01A-M01-R-MM01,anger
MSP-IMPROV-S01A-M01-S-FM01,neutral
MSP-IMPROV-S01A-M01-S-FM02,neutral
MSP-IMPROV-S01A-M01-S-FM03,neutral
MSP-IMPROV-S01A-M01-S-FM04,neutral
MSP-IMPROV-S01A-M01-S-FM05,neutral
MSP-IMPROV-S01A-M01-S-FM06,neutral
MSP-IMPROV-S01A-M01-S-FM07,unknown
MSP-IMPROV-S01A-M01-S-MF01,unknown
MSP-IMPROV-S01A-M01-S-MF02,neutral
MSP-IMPROV-S01A-M01-S-MF03,neutral
MSP-IMPROV-S01A-M01-S-MF04,neutral
MSP-IMPROV-S01A-M01-S-MF05,neutral
MSP-IMPROV-S01A-M01-S-MF06,neutral
MSP-IMPROV-S01A-M01-T-MF01,anger
MSP-IMPROV-S01A-M02-P-FM01,neutral
MSP-IMPROV-S01A-M02-P-FM02,happiness
