name,phones
MSP-IMPROV-S01A-F01-P-FM01,aɪ h æ v t uː ɡ oʊ t iː ð k l æ s h aʊ k æ n aɪ n ɑː t 
MSP-IMPROV-S01A-F01-P-FM02,ɑː θ ə m s eɪ aɪ l s ɪ t ɔ n m aɪ h æ n d 
MSP-IMPROV-S01A-F01-P-MF01,j iː æ n d s æ l æ m ə n j uː h æ v ə n t h æ d j uː ɡ ɑː t s oʊ l ɪ ɾ əl s l iː p l æ s t n aɪ t aɪ n oʊ aɪ n oʊ ð æ t j ʊɹ ɡ ɜː l f ɹ ɛ n d w ʌ z h æ v ɪ ŋ ɐ p æ n ɪ k ɐ t æ k æ n d j aʊ h æ d t uː ɡ oʊ t ɔː k t uː h ɜː j uː ʃ ʊ d j uː d ɪ z ɜː v t uː j aʊ l n ɑː t ɡ oʊ t uː k l æ s t uː d eɪ 
MSP-IMPROV-S01A-F01-S-FM01,aɪ m s oʊ t aɪɚ d aɪ m n ɑː t l ʊ k ɪ ŋ f ɔːɹ w ɚ d t uː k l æ s ð ɪ s m ɔːɹ n ɪ ŋ 
MSP-IMPROV-S01A-F01-S-FM02,aɪ t iː aɪ k æ n t s k ɪ p k l æ s w ʌ t ɑːɹ j uː t ɔː k ɪ ŋ ɐ b aʊ t 
MSP-IMPROV-S01A-F01-S-FM03,n oʊ aɪ t iː ɪ z ɐ ɹ iə l i b ɪ ɡ d iː l 
MSP-IMPROV-S01A-F01-S-FM04,l aɪ k ɪ t s ɡ oʊ ɪ ŋ t uː b iː ɔ n m aɪ ɐ t ɛ n d ə n s aɪ æ n d ð æ t ð æ t k ʊ d b iː ð ə d ɪ f ɹ ə n s b ᵻ t w iː n ɐ n ɐ æ n d ɐ b iː 
MSP-IMPROV-S01A-F01-S-FM05,aɪ ɐ m s oʊ t aɪɚ d aɪ d uː n ɑː t w ɔ n t t uː ɡ oʊ t uː k l æ s t uː d eɪ oʊ ð ɛ n d oʊ n t 
MSP-IMPROV-S01A-F01-S-FM06,j ɐ w ɛ l aɪ m ɡ oʊ ɪ ŋ t uː ɡ oʊ t uː k l æ s ɪ t s ɡ oʊ ɪ ŋ t uː s t ʌ k b ʌ t ɛ m ɡ oʊ ɪ ŋ t uː ɡ oʊ 
MSP-IMPROV-S01A-F01-S-MF02,b ɑː ɹ aɪ t iː h æ z b ɪ n aɪ h ɐ v b ɪ n ɐ s l iː p n ɑː t l ɔ ŋ ɪ n ʌ f 
MSP-IMPROV-S01A-F01-S-MF03,j ɐ aɪ dʒ ʌ s t ɹ oʊ l d aʊ ɾ ə v b ɛ d aɪ d oʊ n t w ɔ n t t uː ɡ oʊ t uː k l æ s t uː d eɪ 
MSP-IMPROV-S01A-F01-S-MF04,j ɛ s b ʌ t aɪ m iː n ð eɪ p ʊ t ɔː l ð ɪ ɪ t s ɔː l dʒ ʌ s t ɹ iː d ɪ ŋ ɔ f ð ə p aʊ ɚ p ɔɪ n t s s oʊ aɪ f iː l l aɪ k æ n d ð eɪ ɚ ɡ oʊ ɪ ŋ t uː p ʊ t aɪ t iː ʌ p ɔ n iː l ɚ ɹ ɪ ŋ l eɪ ɾ ɚ s oʊ aɪ k æ n dʒ ʌ s t ɹ iː d ð ɛ m l eɪ ɾ ɚ j iː aɪ m iː n 
MSP-IMPROV-S01A-F01-S-MF05,w ɛ l aɪ ɐ p ɹ iː ʃ ɪ eɪ t ð æ t b ʌ t aɪ k æ n t eɪ k k ɛ ɹ ʌ v m aɪ s ɛ l f aɪ m iː n aɪ m iː n aɪ n oʊ j uː ɑː ɹ ʌ p l eɪ t t ɔː k ɪ ŋ t uː j ʊɹ ɡ ɜː l f ɹ ɛ n d ʃ iː w ʌ z h æ v ɪ ŋ ɐ p æ n ɪ k ɐ t æ k l æ s t n aɪ t ɪ n j uː s ɛ d ð æ t ɜː l ɪ ɚ s oʊ j uː ʃ ʊ d s k ɪ p k l æ s w ɪ ð m iː j uː l ʊ k ɹ iə l i t aɪɚ d 
MSP-IMPROV-S01A-F01-S-MF06,aɪ d oʊ n t n oʊ dʒ ʌ s t ɪ t s ɹ iə l i n ɑː t ð æ t b ɪ ɡ ə v ə d iː l 
MSP-IMPROV-S01A-F01-S-MF07,n oʊ aɪ m n ɑː t h æ n d ɪ ŋ t uː ð æ t m æ n aɪ l s iː j uː l eɪ ɾ ɚ ɹ oʊ k i 
MSP-IMPROV-S01A-F01-T-FM01,h aʊ k æ n aɪ n oʊ aɪ t iː 
MSP-IMPROV-S01A-F02-P-FM01,s oʊ v b ɛ l i ɑː h aɪ s oʊ t aɪɚ d ð ɪ s m ɔːɹ n ɪ ŋ aɪ t iː d oʊ ð ə s eɪ m θ ɪ ŋ b ʌ t s l ɪ x aɪ t iː aɪ ɡ ɛ s 
MSP-IMPROV-S01A-F02-P-MF01,d iː j uː ɑː w ɪ oʊ p ɜː s ə n eɪ t ɐ p ɜː s ə n b iː ɛ f v ɜː z p ɪ k əl oʊ k eɪ p oːɹ p ɚ s ə n ɹ oʊ t ə n b ɔ n t oʊ k eɪ ɔ n ʃ oʊ ɹ ɑː t p eɪ p ɚ s ɪ s ɚ z s oʊ b ɹ ɑː t p eɪ p ɚ s ɪ s ɚ z s oʊ b iː p iː p ɜː s ɪ s ɚ z s oʊ b æ t p eɪ p ɚ s ɪ s ɚ s uː oʊ k eɪ 
MSP-IMPROV-S01A-F02-P-MF02,oʊ k eɪ aɪ dʒ ɛ s aɪ l dʒ ʌ s t f iː l l aɪ k d oʊ n t w ɔ n t t uː s t ɑːɹ t w ɪ ð w ʌ t j uː j oʊ l aɪ k ɑː aɪ m s oʊ t aɪɚ d aɪ b iː l aɪ k h iː j uː l ʊ k ɹ iə l i b æ d w aɪ j uː ɡ oʊ k l æ s w ɪ n t j uː s t uː dʒ ɪ v k l æ s ɔː ɹ ɑː m l ɛ ŋ æ n d ð ɛ n j uː ɡ ɛ t ɔː l j iː 
MSP-IMPROV-S01A-F02-P-MF03,j ɛ s s ɛ d oʊ v ɚ 
MSP-IMPROV-S01A-F02-R-FF01,h aʊ k æ n aɪ n aʊ aɪ t iː 
MSP-IMPROV-S01A-F02-S-FM01,oʊ aɪ m s oʊ t aɪɚ d t uː d eɪ 
MSP-IMPROV-S01A-F02-S-FM02,ð æ t s ɹ iə l i ɪ ɹ ᵻ s p ɑː n s ᵻ b əl 
MSP-IMPROV-S01A-F02-S-FM03,j iː aɪ n oʊ 
MSP-IMPROV-S01A-F02-S-MF01,ɹ ɛ d j eɪ j uː l ʊ k ɹ iə l i b æ d w aɪ d oʊ n t j uː dʒ ʌ s t s k ɪ p k l æ s ɡ ɛ t s ʌ m ɹ ɛ s t 
MSP-IMPROV-S01A-F02-S-MF02,j ɛ h j uː l ʊ k p ɹ ɪ ɾ i b æ d w aɪ d oʊ n t j uː dʒ ʌ s t s k ɪ p k l æ s ɡ ɛ t s ʌ m ɹ ɛ s t 
MSP-IMPROV-S01A-F02-T-FM01,h aʊ k æ n aɪ n ɑː t 
MSP-IMPROV-S01A-F03-P-FM01,n oʊ eɪ m ɚ 
MSP-IMPROV-S01A-F03-P-FM02,b ɪ k ʌ z n aʊ aɪ h æ v t uː b iː l aɪ k ɔ n ð ə b ɔː l b ᵻ f oː ɹ aɪ k æ n b iː l aɪ k w ʌ t ɛ v ɚ 
MSP-IMPROV-S01A-F03-P-FM03,ɛ s w iː t aɪ m f ɔːɹ θ iː n oʊ m uː v ɪ ŋ b æ k w ɚ d z 
MSP-IMPROV-S01A-F03-P-FM04,w iː w ɜː t ɑːɹ ɾ ɪ ŋ j uː v ɚ f ɹ ʌ m ð ə t ɑː p 
MSP-IMPROV-S01A-F03-P-FM05,ð ɪ s ɪ z t iː eɪ tʃ oʊ k eɪ w ɛ n aɪ k æ n d uː ð æ t w ʌ n oʊ æ ŋ ɡ ɹ i ð ɪ s m ʌ s t b iː ð ə p ɹ ɑː p ɚ w ʌ n 
MSP-IMPROV-S01A-F03-P-FM06,iː k oʊ ɹ ᵻ n ɛ 
MSP-IMPROV-S01A-F03-P-FM07,oʊ k eɪ k eɪ ɡ oʊ ɾ ɪ m k ɑː m 
MSP-IMPROV-S01A-F03-P-MF01,h uː ɪ z p ɜː s oʊ n ə p ɜː s ə n b iː 
MSP-IMPROV-S01A-F03-P-MF02,ð ɪ s f ɪ n s oʊ j uː b iː p ɜː s ə n æ l ɪ b i p ɜː s ə n b iː aɪ k oʊ 
MSP-IMPROV-S01A-F03-P-MF03,f ɚ ð ə d ʊɹ ɹ eɪ ʃ ə n ʌ v ð ɪ s j ʊɹ n eɪ m ɪ z æ l ə n j iː ɪ m ɡ oʊ ɪ ŋ t oʊ k ɔː l j uː æ l ə n j ʊɹ f iː t uː k ɔː l m iː w ʌ t ɛ v ɚ j uː w ʊ d l aɪ k w ɪ ð ɪ n ɐ ɹ iː z ə n 
MSP-IMPROV-S01A-F03-P-MF04,d oʊ n t h ɜː t m aɪ f iː l ɪ ŋ z 
MSP-IMPROV-S01A-F03-P-MF05,ɡ ɑː d iː h æ l z t iː b iː f ɹ ɛ n d z j uː k æ n t k ɔː l m iː θ ɪ ŋ z l aɪ k ð æ t s iː æ n t iː v ə n s ɛ z j ʊɹ f ɹ ɛ n d ɪ n ð ə p ɹ ɑː m p t 
MSP-IMPROV-S01A-F03-P-MF06,ɪ z l eɪ z i æ n d ɹ ɛɹ l i ɡ oʊ s k oʊ z oʊ ɪ t s m iː h iː h æ n ə s oʊ æ l ə n æ n d h æ n ə s ɛ t ʌ p ɐ l ɪ ɾ əl l eɪ t æ n d l ʊ k t t aɪɚ d aɪ h æ v t uː ɹ ɛ d dʒ ɔːɹ dʒ n aʊ t uː 
MSP-IMPROV-S01A-F03-P-MF07,oʊ m aɪ k ɔ n b æ k w ɚ d z tʃ iː z 
MSP-IMPROV-S01A-F03-P-MF08,ʌ m aɪ v ɐ k w ɛ s tʃ ə n h aʊ l ɔ ŋ d uː ð iː z n iː d t uː b iː dʒ ʌ s t l aɪ k ɐ k ʌ p əl ʌ v l aɪ n z ɐ p iː s ɔːɹ d uː ð eɪ n iː d t uː b iː l aɪ k ɪ n ɹ ɪ v ɑː l v d 
MSP-IMPROV-S01A-F03-P-MF09,iː oʊ ð oʊ z w iː k æ n s t ɑːɹ v l aɪ k l ɪ k iː n oʊ h eɪ æ l ə n h aʊ j uː d uː æ n d t uː d eɪ j uː l ʊ k ɐ l ɪ ɾ əl b ɪ t t aɪɚ d 
MSP-IMPROV-S01A-F03-P-MF10,w eɪ t ɪ z aɪ t iː ɪ z l aɪ k w ʌ t ɪ z w ʌ t m ɪ s w ʌ z æ s k oʊ j ɛ t j uː d oʊ n t h æ v t uː ɡ oʊ j uː d oʊ n t h æ v t uː ɡ oʊ 
MSP-IMPROV-S01A-F03-P-MF11,ɐ k eɪ s ð ɛ ɹ ɪ z l aɪ k eɪ s s m ɪ n l aɪ k ð æ t ɪ z ð æ t ɪ z ð æ t ɐ k s ɛ p t ə b əl ɐ s t ɑː ŋ æ n s ɚ 
MSP-IMPROV-S01A-F03-P-MF12,ɹ aɪ t w iː w ɜː dʒ ʌ s t ɹ ʌ n ɪ ŋ θ ɹ uː ð ə s iː n t uː m eɪ k ʃ ʊɹ w iː k ʊ d w ɜː k aɪ t iː aʊ t aɪ ɹ ɪ ɡ t s oʊ w ɛ n ɛ v ɚ w ɜː ɹ ɛ d i ɔːɹ j uː k æ n t ɛ l j uː ɛ s w iː n oʊ 
MSP-IMPROV-S01A-F03-R-FF01,h aʊ k æ n aɪ n ɑː t 
MSP-IMPROV-S01A-F03-S-FM01,iː æ l ə n j iː m æ n i j uː s t ɑː w ʌ z ɐ l ɔ ŋ n aɪ t b ʌ t ɛ l b ɛ k 
MSP-IMPROV-S01A-F03-S-FM02,w aɪ aɪ h æ v t uː ɡ oʊ t uː k l æ s æ n d əl t ɛ n m ɪ n ɪ t s 
MSP-IMPROV-S01A-F03-S-FM03,s k æ p 
MSP-IMPROV-S01A-F03-S-FM04,æ l ə n 
MSP-IMPROV-S01A-F03-S-FM05,oʊ j uː n oʊ dʒ ʌ s t ɐ l ɪ ɾ əl b ɪ t t aɪɚ d ɛ v ɹ ɪ t ɪ n ɛ v ɹ ɪ θ ɪ ŋ z ɡ ʊ d ð oʊ 
MSP-IMPROV-S01A-F03-S-FM06,ɑː j iː h ɛ d ᵻ d ɐ k l æ s ɪ m p oːɹ t ɪ n æ t l i dʒ ʌ s t k oʊ 
MSP-IMPROV-S01A-F03-S-FM07,j iː 
MSP-IMPROV-S01A-F03-S-FM08,j iː 
MSP-IMPROV-S01A-F03-S-MF01,oʊ ɡ ɑː d w ɛ l aɪ d oʊ n t n oʊ aɪ m iː n w ʌ t d uː j uː h æ v t uː d eɪ 
MSP-IMPROV-S01A-F03-S-MF02,w æ n w ʌ t k l æ s ɑːɹ j uː ɡ oʊ ɪ ŋ t uː ɜː 
MSP-IMPROV-S01A-F03-S-MF03,æ n t m æ n s aɪ k ɑː l ə dʒ i n oʊ j uː l ʊ k t aɪɚ d j uː d oʊ n t j uː d oʊ n t n iː d t uː ɡ oʊ t uː s aɪ k ɑː l ə dʒ i w aɪ d oʊ n t j uː j uː k ʊ d dʒ ʌ s t s k ɪ p 
MSP-IMPROV-S01A-F03-S-MF04,h eɪ æ l ə n h aʊ j uː d uː ɪ n m æ n 
MSP-IMPROV-S01A-F03-S-MF05,j uː l ʊ k p ɹ ɪ ɾ i t aɪɚ d 
MSP-IMPROV-S01A-F03-S-MF06,w ʌ t k l æ s w ʌ t k l æ s ɑːɹ j uː ɡ ɑː t eɪ 
MSP-IMPROV-S01A-F03-S-MF07,s aɪ k ɑː l ə dʒ i eɪ t j uː d oʊ n t n iː d j uː n iː d t uː ɡ oʊ t uː s aɪ k ɑː l ə dʒ i 
MSP-IMPROV-S01A-F03-T-FM01,h aʊ k æ n aɪ n ɑː t 
MSP-IMPROV-S01A-F03-T-FM02,h aʊ k æ n aɪ n ɑː t 
MSP-IMPROV-S01A-F04-P-FM01,d oʊ n t k ɛɹ 
MSP-IMPROV-S01A-F04-P-FM02,aɪ f iː l l aɪ k ð æ t w ʌ z ɡ ʊ d ɹ eɪ l aɪ k n oːɹ b ɪ z ə n t aɪ t iː dʒ ʌ s t l iː d ɪ ŋ ʌ p t uː ð ə t ɑːɹ ɡ ɪ t s ɛ n s p ɹ ɪ ɾ i m ʌ tʃ 
MSP-IMPROV-S01A-F04-P-FM03,ʃ ʊɹ w ɪ tʃ w eɪ æ m aɪ s eɪ ɪ ŋ ð ə f ɜː s t w ʌ n ə 
MSP-IMPROV-S01A-F04-P-FM04,eɪ iː n ɑː d z f eɪ t 
